batch_id,mapping_id,source_asset_id,itemId,external_item_id,model_id,role,proposed_destination_path,proposed_filename,image_position,collision_key,mapping_confidence,mapping_basis,mapping_status
ryderwear-batch2-2026-05-27-01,map-001,,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,gallery_set,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-002,,,ryderwear_female_nkd_leggings_v_full_length_scrunch,ryderwear_female_nkd_leggings_v_full_length_scrunch,gallery_set,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash,low,existing_batch2_productdb_update_plan,manual_review_required
ryderwear-batch2-2026-05-27-01,map-003,,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,gallery_set,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-004,,,ryderwear_female_nkd_shorts_v_pocket_scrunch,ryderwear_female_nkd_shorts_v_pocket_scrunch,gallery_set,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-005,,,ryderwear_female_nkd_shorts_v_scrunch,ryderwear_female_nkd_shorts_v_scrunch,gallery_set,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha,multiple_or_unknown,1+,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-006,,,ryderwear_female_nkd_tank_top_scrunch,ryderwear_female_nkd_tank_top_scrunch,gallery_set,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-007,,,ryderwear_female_nkd_bodysuit_v_scrunch,ryderwear_female_nkd_bodysuit_v_scrunch,gallery_set,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-008,,,ryderwear_female_nkd_leggings_flared_cross_over,ryderwear_female_nkd_leggings_flared_cross_over,gallery_set,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-009,,,ryderwear_female_nkd_long_sleeve_half_zip,ryderwear_female_nkd_long_sleeve_half_zip,gallery_set,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-010,,,ryderwear_female_nkd_tank_top_square_neck,ryderwear_female_nkd_tank_top_square_neck,gallery_set,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white,high,existing_batch2_productdb_update_plan,pending_human_approval
