batch_id,itemId,external_item_id,catalogue_status,media_status,hero_status,review_status,visibility_status,frontend_required_fields_ready,blocked_reasons,approved_at,notes
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_v_full_length_scrunch,inactive_planning_scope,blocked,pending,pending,not_publishable,no,suspicious_mapping_manual_review_required,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_shorts_v_pocket_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_shorts_v_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_tank_top_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_bodysuit_v_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_flared_cross_over,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_long_sleeve_half_zip,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_tank_top_square_neck,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_t_shirt,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_sports_bra_rib_waistband_light_support,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_ultra_tank_top_mesh,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_ultra_tank_top_scoop,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_ultra_t_shirt_scoop,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_female_slouchy_off_shoulder_top,inactive_planning_scope,ready,pending,pending,not_publishable,no,publication_not_in_scope_for_backfill,,backfill_report_only_no_execution
ryderwear-batch2-2026-05-27-01,,ryderwear_unisex_gym_bag_accessories,inactive_planning_scope,blocked,pending,pending,not_publishable,no,suspicious_mapping_manual_review_required,,backfill_report_only_no_execution
