destination_path,duplicate_count,model_ids,itemNames,source_paths,recommended_action
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso/01.webp,2,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch | ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Scrunch V Halter Bra | NKD Underwire Keyhole Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso/01.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso/02.webp,2,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch | ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Scrunch V Halter Bra | NKD Underwire Keyhole Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso/02.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso/03.webp,2,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch | ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Scrunch V Halter Bra | NKD Underwire Keyhole Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso/03.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso/04.webp,2,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch | ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Scrunch V Halter Bra | NKD Underwire Keyhole Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso/04.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso/05.webp,2,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch | ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Scrunch V Halter Bra | NKD Underwire Keyhole Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso/05.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso/06.webp,2,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch | ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Scrunch V Halter Bra | NKD Underwire Keyhole Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso/06.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso/07.webp,2,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch | ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Scrunch V Halter Bra | NKD Underwire Keyhole Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso/07.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white/01.webp,2,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support | ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Knot Sports Bra | NKD Twist Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Tank/Cross-Over/White/01.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white/02.webp,2,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support | ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Knot Sports Bra | NKD Twist Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Tank/Cross-Over/White/02.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white/03.webp,2,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support | ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Knot Sports Bra | NKD Twist Sports Bra,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Tank/Cross-Over/White/03.webp,Manually resolve mapping ambiguity and keep exactly one model_id for this destination path before executing copy.
